CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;A009;A010;A010_05;A011;A011_07;A012;A012_01;A012_02;A012_03;A012_04;A012_05;A012_06;A012_07;A012_08;A012_09;A012_09a;A014;B003;B003_01;B003_02;B003_03;B003_04;B003_05;B003_06;B003_07;B003_07a;B004;B005_01;B006;B007_01;B008;B008_01;B008_02;B008_03;B008_04;B008_05;B008_06;B008_06a;B009;B009_01;B010;B015;B015_01;B015_02;B015_03;B015_04;B015_05;B015_06;B015_07;B015_08;B011;B011_03;B012;B013;B013_01;B016_CN;B016x01;B016x11;B016x12;B016x13;B016x02;B016x21;B016x22;C001;C001_01;C001_02;C001_03;C001_04;C001_05;C001_06;C001_07;C001_08;C001_08a;C001_09;C002;C002_01;C002_02;C002_03;C002_04;C002_05;C002_06;C002_07;C002_08;C002_08a;C002_09;C003;C003_01;C003_02;C003_03;C003_04;C003_05;C003_06;C003_07;C003_08;C003_09;C003_09a;C003_10;C004;C004_01;C004_02;C004_03;C004_04;C004_05;C004_05a;C004_06;C005;C005_01;C006;C006_01;C006_02;C006_03;C006_04;C006_05;C006_06;C006_07;C006_08;C006_08a;C006_09;C007_01;D008;D002;D001_01;D003;D004_01;D005_01;D006_01;D007;;;;;;;;;;;;;;;;;;;;;;;;
1547;;;base;interview;30.08.2019 16:00;-9;-9;;;;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1550;;;base;interview;30.08.2019 16:19;276;3;;6;;1;1;1;1;1;1;1;1;1;2;Science IT Support ;8;7;2;2;2;2;2;2;2;100 different interfaces to LIMS mainly PDF import;2;;1;;5;2;2;2;2;1;2;Meta data & order data & person related data;1;"You have to use the ELN and the ELN with all data from the LIMS has to be ""signed"".";1;7;2;2;2;2;2;2;2;1;3;both (mainly from software) but some metadata are entered in software manually;2;1;ELAB;2;2;2;1;2;1;1;1;2;1;1;1;1;1;1;2;2;TivoliStorageManagement (IBM TSM) @ ELAB & LIMS;1;3;2;2;1;1;1;1;1;2;LIMS within analytical labs;1;2;2;1;1;1;1;1;1;1;2;External version of LabJournal;1;2;2;2;1;1;1;;1;1;nmrshiftdb RobienNMR-Predition chemspider ....;2;2;2;1;1;1;1;1;1;;1;Patents, REACH, Structure Reassessment, Impurity search;1;1;;1;iron mountain, dropbox etc. but I don't use these because on IP protection;Qualified 24/7 DCs with qualified administrator and a reliable good IT infrastructure;ERP connection and development of new better tools and IT support are a mess...;1;;;;;;;;;;;;;;;;;;;;;;;;
1551;;;base;interview;30.08.2019 16:26;276;1;;3;;1;1;1;2;1;1;1;1;1;1;;4;4;1;2;2;1;2;1;2;Spectrometric Data (Mass Spectrometry);1;Mass Spectra, Metadata to EPR-Spectra, other meta-Data;2;Taking a Photograph of a spectrum on an oscilloscope and read it in by a computer;4;2;2;2;2;1;1;;2;;1;3;1;1;2;1;2;1;2;1;1;;2;2;;1;2;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;;1;2;1;2;1;1;2;1;1;1;;1;2;1;1;1;2;2;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;3;1;1;1;1;2;2;2;1;;1;;1;1;;2;;Electronic labjournal instead of excel;one computer does not have a proper connection to the network (is being worked on), taking spectra with an oscilloscope;2;;;;;;;;;;;;;;;;;;;;;;;;
1552;;;base;interview;30.08.2019 16:28;276;3;;6;;2;1;1;2;1;2;1;1;1;1;;4;3;1;2;2;1;2;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1553;;;base;interview;30.08.2019 16:32;276;3;;6;;1;1;1;1;1;1;2;1;1;1;;6;1;2;1;1;1;1;1;1;;2;;1;;2;2;1;2;1;1;1;;1;electronic labbook and database;1;6;2;2;2;1;2;2;2;1;2;;2;1;Biovia;1;2;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;;1;2;2;1;1;1;1;2;1;1;;1;2;2;1;1;1;1;2;1;1;1;;1;1;2;1;1;1;1;;1;1;csearch;2;2;2;1;1;1;1;1;1;;1;quality control;1;1;;1;in-house IT colleagues;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1554;;;base;interview;30.08.2019 16:34;276;1;;8;;1;1;1;1;1;1;1;1;2;1;;6;2;1;1;2;1;1;1;2;Binding assay data;2;;2;NMR assignments of small molecules and peptides, NMR signal intensities (when by hand is faster than by software);1;1;1;1;2;1;1;;3;;3;;;;;;;;;;;;;2;;;;;;;;;;3;1;2;2;2;1;1;1;1;;1;1;1;2;1;1;1;1;1;1;;1;1;1;1;1;2;1;1;1;1;1;;1;2;2;2;1;1;1;;1;1;pdb, BMRB, UniProt;3;2;2;2;1;1;1;1;1;;1;NMR assignemnts of proteins for ligand titrations, NMR pulse sequences;1;1;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1556;;;base;interview;30.08.2019 16:36;276;3;;6;;1;1;2;1;1;1;1;1;1;1;;4;2;1;2;2;1;1;1;1;;2;;1;;4;2;2;2;2;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;3;2;1;1;2;1;2;1;1;;1;3;1;1;2;2;2;1;1;1;;1;3;1;1;2;2;2;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1557;;;base;interview;30.08.2019 16:56;276;2;;7;Senior Scientist;2;1;1;2;1;1;1;1;1;2;Biogeochemistry;8;3;2;2;2;1;1;1;1;;1;typical experimental lab data associated with chemical syntheses and sample preparation;2;"analysis of NMR spectra; assembly of complex plots and images";3;2;2;2;1;1;1;;1;individal rules for individual data;1;3;2;1;2;1;1;2;1;1;3;both manually and by (in part own-developed) software;3;2;;1;1;1;1;1;2;2;1;4;2;2;2;2;1;1;1;1;;1;4;1;2;1;2;2;2;1;1;;1;2;1;1;1;2;1;1;2;1;1;;1;1;2;1;1;1;1;;1;2;;2;2;2;1;1;1;1;1;1;;1;check whether these make sense;1;1;;2;;some more time to think about that;we have a very slow internet;2;;;;;;;;;;;;;;;;;;;;;;;;
1558;;;base;interview;30.08.2019 17:06;276;1;;1;;2;1;2;2;1;1;1;1;1;1;;7;2;2;1;2;1;1;1;1;;2;;2;Printing out spectra and assigning peaks;1;1;1;1;2;1;1;;2;;1;3;2;2;2;1;1;1;1;1;3;both, depending on method...but we are just now starting to do this properly;1;1; enventory for synthesis and LOGS as repository for the NMR data, sample description is added to the NMR data (but not all coworkers do that to the same extent);1;1;1;1;1;2;2;1;4;1;2;1;2;2;1;2;1;;1;2;2;1;1;1;1;2;1;1;;1;3;1;1;1;2;2;2;1;1;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;2;1;1;1;;1;;1;1;;1;LOGS as a repository;I think we have everything (apart from small changes to the LOGS and enventory that need to be implemented to make it more convenient);I need to make sure that there are rules for archiving and these are followed;2;;;;;;;;;;;;;;;;;;;;;;;;
1560;;;base;interview;30.08.2019 17:32;276;1;;1;;3;1;1;1;2;1;1;2;1;2;Catalysis;6;6;2;2;2;2;1;2;2;Reactor parameters;1;Mainly in catalyst Synthesis rwritten in the labratory journal: weight of compounds put into the Synthesis, exact times and temperatures of the steps, observations such as Color etc. These Information are later partially digitalized when preparing publications/thesis;1;;3;2;2;2;1;1;1;;1;raw data and processed data of publications and theses are stored ;2;;;;;;;;;;;;;2;;;;;;;;;;2;1;2;2;1;1;1;1;1;;1;2;1;2;1;2;1;1;1;1;;1;3;1;1;2;2;1;1;2;1;1;;1;1;2;1;1;1;1;;1;2;;3;2;2;2;1;1;1;1;1;;1;a study on machine learning to re-analyze these data;1;3;;1;scibo;data structure and metadata handling;normalized data structure across all sources of data ;2;;;;;;;;;;;;;;;;;;;;;;;;
1561;;;base;interview;30.08.2019 18:16;250;1;;2;;1;1;1;1;1;1;1;2;1;1;;4;3;2;2;2;1;1;1;1;;1;Synthesis or sample preparation parameters;1;;3;2;2;2;1;1;1;;1;Laboratory books and processed data have to be stored, but there are no rules concerning the form or completeness.;2;;;;;;;;;;;;;2;;;;;;;;;;2;1;2;1;2;1;1;1;1;;1;4;1;2;2;2;2;1;1;1;;1;3;1;1;2;2;2;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;3;2;2;2;1;1;1;1;1;;1;For publishing together with the other sicentists as co-authors, or for comparison of other scientists' results with own results;1;3;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
1562;;;base;interview;30.08.2019 18:52;840;1;;2;;2;1;1;1;1;1;2;1;2;1;;4;2;1;2;2;1;1;1;1;;2;;1;;4;2;2;2;1;2;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;4;2;2;2;1;1;1;2;1;;1;2;1;2;1;2;1;1;1;1;;1;3;1;1;1;2;1;2;2;1;1;;1;3;2;2;1;1;1;;2;1;protein data bank, biological magnetic resonance bank;3;1;2;2;2;1;1;1;1;;1;detailed analysis of different DNA structures (pdb), comparison of NMR data (mostly chemical shifts, but also restraints for structure calculation);1;1;;1;pdb, bmrb;-;-;2;;;;;;;;;;;;;;;;;;;;;;;;
1563;;;base;interview;30.08.2019 19:07;276;3;;7;Managing Director (Geschäftsführendes Gesellschafter);4;2;2;2;1;1;1;1;2;1;;6;5;2;2;2;2;1;1;2;Spectroscopy connected to Life and Material Sciences;3;;1;;4;2;2;2;2;1;1;;3;;1;7;2;2;2;2;2;2;2;1;2;;2;2;;2;2;2;2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1564;;;base;interview;30.08.2019 19:18;-9;-9;;;;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1566;;;base;interview;30.08.2019 19:19;40;1;;1;;1;1;1;2;1;1;1;1;1;1;;8;3;2;1;2;1;1;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1567;;;base;interview;30.08.2019 19:43;276;1;;5;;1;1;1;1;1;1;1;1;1;2;Medicinal Chemistry;2;3;2;1;2;2;1;1;1;;2;;1;;1;1;1;1;2;1;1;;3;;3;;;;;;;;;;;;;2;;;;;;;;;;5;2;1;2;2;2;2;1;1;;1;4;1;2;2;2;2;1;1;1;;1;3;1;1;2;2;2;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1568;;;base;interview;30.08.2019 20:02;276;1;;3;;1;1;2;1;1;1;1;1;1;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1570;;;base;interview;31.08.2019 07:10;826;1;;8;;2;1;1;2;1;1;1;1;2;1;;5;3;2;2;2;1;1;1;1;;2;;1;;2;2;2;1;1;1;1;;1;Underpinning data is made available in repository on publication;1;4;2;1;2;1;2;2;1;1;2;;3;2;;1;2;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;;1;2;1;2;1;1;2;1;1;1;;1;2;1;2;2;1;1;1;1;1;1;;1;2;1;2;2;1;1;;1;1;University Repository;1;1;1;1;1;1;1;2;1;;1;;1;1;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1574;;;base;interview;31.08.2019 11:30;276;1;;3;;2;2;1;2;1;1;1;1;1;1;;2;6;2;2;2;2;2;2;1;;1;Synthetic descriptions/procedures. ;3;;4;2;2;2;2;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;2;2;1;1;1;1;2;1;1;;1;2;1;1;2;2;1;1;1;1;;1;1;1;1;1;2;1;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;2;2;2;1;1;1;1;1;1;;1;;1;1;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1578;;;base;interview;31.08.2019 14:23;276;1;;3;;2;1;2;2;1;1;1;1;1;1;;4;2;1;2;2;1;1;1;1;;1;Mostly theoretical calculations about NMR-Experiments, which are later becomes part of an electronic document (e.g. supplemnentary information or main text of publications);1;spectra analysis of printed ;2;2;1;2;1;1;1;;1;we use extensively the archival storage system LOGS;1;6;2;2;2;2;2;2;1;1;1;;1;2;;1;2;1;1;2;1;1;1;5;2;2;1;2;2;1;2;1;;1;4;1;2;1;2;2;2;1;1;;1;3;1;1;1;2;1;2;2;1;1;;1;2;2;2;1;1;1;;1;1;LOGS;4;2;2;2;2;1;1;1;1;;1;Mainly for setting up/establishing techniques from other working groups in our group;1;1;;1;LOGS;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1579;;;base;interview;31.08.2019 14:57;276;1;;1;;1;1;1;1;1;1;2;1;1;1;;6;3;1;2;2;1;1;1;2;Dose-response (affinity) data;2;;2;"When selecting molecules to test, we hold a ""hit-picking party"" where all lab members give scores on printed sheets, which are then typed into spreadsheets later.
For the affinity data, the readout from certain plate readers/scinitillation counters might be printed and has to be re-entered manually.";1;1;1;1;2;1;1;;1;Archived on a per-publication basis;1;4;2;1;1;2;2;1;2;1;1;;2;2;;2;2;1;2;2;1;1;1;2;1;2;2;1;1;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;3;1;1;2;2;2;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;3;2;2;1;2;1;1;1;1;;1;"Docking to homology models generated by other people; building SAR relationships from experimental data";1;1;;1;"local central computing services; databases such as ChEMBL, GPCRdb";Storage space;Sometimes, different file formats are a challenge;1;;;;;;;;;;;;;;;;;;;;;;;;
1580;;;base;interview;31.08.2019 15:02;276;1;;1;;1;2;1;1;1;1;1;1;1;1;;8;4;2;1;2;1;2;2;1;;2;;1;;1;2;1;1;1;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;3;2;2;1;2;1;1;1;1;;1;3;1;2;2;2;1;1;1;1;;1;2;1;1;2;2;1;1;1;1;1;;1;1;2;1;1;1;1;;1;1;Cambridge Crystallographic Data Base;1;1;1;1;2;1;1;1;1;;1;checking for crystallographic data;1;2;We had to move twice our laboratory and things became a bit too crazy and so data storage on older systems etc. was deleted prior to the 10 years.;2;;Somebody who takes care on the software for the server for data management ;We are in the process to move to an electronic lab book that should lead to the required data storage etc.;2;;;;;;;;;;;;;;;;;;;;;;;;
1584;;;base;interview;31.08.2019 21:43;276;1;;3;;1;1;1;2;1;1;1;1;1;1;;5;4;2;1;2;1;2;2;1;;1;I write the pressure data which I see at the moment, after 2, 4, 6, hours. Then I transfer this data into the program for further calculation. ;2;The data for XRD analysis.;2;2;1;2;1;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;5;2;2;2;2;2;1;1;1;;1;1;1;2;1;1;1;1;1;1;;1;2;1;1;1;2;1;1;2;1;1;;1;1;2;1;1;1;1;;1;2;;2;2;1;2;1;1;1;1;1;;1;To read the crystal structure description.;2;-9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1585;;;base;interview;31.08.2019 22:43;276;1;;1;;1;1;1;1;1;1;2;1;1;1;;8;3;1;2;2;2;1;1;1;;2;;1;;1;1;1;1;2;1;1;;1;SOPs;1;5;2;1;2;2;2;2;1;1;3;both ways;3;1;in an evaluation step (LabFolder);1;1;1;1;1;2;2;1;2;1;1;2;1;1;1;2;1;;1;1;1;2;1;1;1;1;1;1;;1;3;1;1;1;2;1;2;2;1;1;;1;2;2;1;2;1;1;;1;1;o;4;2;2;2;2;1;1;1;1;;1;New research questions;1;1;;1;x;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;
1586;;;base;interview;31.08.2019 23:44;276;2;;8;;1;1;1;2;1;1;1;1;1;1;;5;2;1;2;2;1;1;1;1;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1588;;;base;interview;01.09.2019 14:48;276;1;;2;;4;1;2;1;1;1;2;1;2;2;Analytical Chemistry;4;4;2;2;2;1;1;1;2;Images (MRI and microscopy);1;At the moment: Viability studies in cell culture (trypan blue) and UV spectra.;2;UV spectra analysis / chromatography is still carried out on graph paper.;1;1;1;1;2;1;1;;1;Project, Date, Experiment No., experiment shortcut, personal sign;1;6;2;2;2;2;2;2;1;1;1;;2;2;;1;2;1;2;1;1;1;1;3;2;1;2;2;1;1;1;1;;1;2;1;2;1;1;2;1;1;1;;1;4;1;1;2;2;2;1;2;1;1;;1;1;2;1;1;1;1;;1;2;;2;2;1;2;1;1;1;1;1;;1;For comparison of new spectra and their analysis.;1;1;;2;;Currently, none.;All data should be saved in an electronical and uniform form.;2;;;;;;;;;;;;;;;;;;;;;;;;
1589;;;base;interview;01.09.2019 15:16;276;1;;1;;1;2;1;1;1;1;1;1;1;1;;6;5;2;2;2;1;2;2;1;;1;Kinetics data: we acquire data, analyse them, and the time constants are summarized manually and typed into an origin file for further analysis.;2;Mass spec on print out, manual assignment, later saved as scan.;4;2;2;2;2;1;1;;1;data policy;1;4;2;2;2;1;1;2;1;1;1;;3;2;;2;2;1;2;2;1;1;1;2;2;2;1;1;1;1;1;1;;1;2;1;2;2;1;1;1;1;1;;1;2;1;1;2;2;1;1;1;1;1;;1;1;2;1;1;1;1;;1;1;CCDC;4;2;2;2;2;1;1;1;1;;1;comparison of crystal structure data;1;1;;1;simplearchive;seamless integration of ELNs with spectroscopic methods;metadata assignment;2;;;;;;;;;;;;;;;;;;;;;;;;
1590;;;base;interview;01.09.2019 15:42;276;2;;4;;2;1;2;1;2;1;1;1;1;1;;9;2;2;1;2;1;1;1;1;;2;;1;;3;2;2;2;1;1;1;;2;;1;2;1;1;2;2;1;1;1;1;1;;3;2;;1;1;1;1;1;2;1;2;2;1;2;1;1;1;1;2;1;;1;2;1;2;1;1;1;2;1;1;;1;2;1;1;2;2;1;1;1;1;1;;1;1;1;1;2;1;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;2;;Training in the field of QM;Standards in the institute better QM system;2;;;;;;;;;;;;;;;;;;;;;;;;
1593;;;base;interview;02.09.2019 07:29;276;1;;3;;3;2;1;1;2;1;1;2;1;1;;4;4;2;1;2;2;2;1;1;;1;#NAME?;1;;4;2;2;2;2;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;2;1;2;2;1;1;1;1;1;;1;3;1;2;2;2;1;1;1;1;;1;3;1;2;2;2;1;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;2;2;2;1;1;1;1;1;1;;1;for a project report;1;1;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1594;;;base;interview;02.09.2019 07:32;276;1;;1;;1;1;1;1;1;1;1;1;1;2;Chemical Technology;8;5;2;2;2;2;1;2;1;;1;Lab journal;1;;1;1;1;1;2;1;1;;1;There is an SOP for data management;2;;;;;;;;;;;;;2;;;;;;;;;;3;2;2;2;1;1;1;1;1;;1;1;1;2;1;1;1;1;1;1;;1;3;1;1;2;2;2;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;1;1;1;2;1;1;1;1;1;;1;Experiments;1;1;;2;;Software systems that facilitates data management - which works reliably and intuitively;The sheer amount of data to be stored is far too much. If legislation wants us to do so, they have to provide storage options.;2;;;;;;;;;;;;;;;;;;;;;;;;
1595;;;base;interview;02.09.2019 08:17;276;1;;4;;1;1;1;1;1;1;1;1;2;1;;3;3;1;2;2;2;1;1;1;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1596;;;base;interview;02.09.2019 08:19;276;1;;4;;1;1;1;1;1;1;1;1;2;1;;3;3;1;2;2;2;1;1;1;;3;;3;;4;2;2;2;2;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;4;1;2;2;2;1;2;1;1;;1;3;1;2;1;1;2;2;1;1;;1;3;1;1;1;2;2;1;2;1;1;;1;1;1;1;1;2;1;;1;2;;2;1;1;1;1;1;2;2;1;;1;;1;1;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1597;;;base;interview;02.09.2019 09:25;826;1;;1;;2;1;1;2;1;1;1;1;1;2;Biophysics;8;1;1;1;1;2;1;1;1;;2;;1;;4;2;2;2;2;1;1;;1;archiving of published data;1;4;2;1;2;2;2;1;1;1;1;;1;2;;1;1;1;1;1;2;2;1;4;2;2;2;2;1;1;1;1;;1;2;1;2;1;2;1;1;1;1;;1;2;1;1;1;2;1;1;2;1;1;;1;1;2;1;1;1;1;;1;1;Open Microscopy Environment (OME);1;1;1;1;1;1;1;2;1;;1;;1;2;The process takes long - hope to have it soon. Tough to force evrybody involved to follow the rules.;1;Omero;manpower, accurate user surface;Need responsible persons that inforce the rules for everybody (unfortunately not all follow the rules);2;;;;;;;;;;;;;;;;;;;;;;;;
1599;;;base;interview;02.09.2019 09:35;276;1;;3;;1;1;1;2;1;1;1;1;1;1;;3;3;1;2;2;2;1;1;1;;1;"- Protein concentrations determined by absorption. The observed data are read from the display of the Eppendorf BioPhotometer and  typed into an electronic document later on, or only noted manually into the lab book.

- Spin concentrations determined by t";2;Some data (see before) are not entered into any digital format, but just written into the lab book.;4;2;2;2;2;1;1;;1;Raw data has to be archived on a server;1;5;2;2;2;2;2;1;1;1;1;;3;2;;1;1;1;1;1;2;2;1;4;2;2;2;1;2;1;1;1;;1;1;1;2;1;1;1;1;1;1;;1;1;1;1;1;2;1;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;2;2;2;1;1;1;1;1;1;;1;for publication of data which other authors provided to me, because I didn't have it myself;1;1;;1;Publication in text form, archiving on a server accessible for colleagues;I would like to test an electronic lab notebook;In the unpublished state, it would be hard for colleagues to understand my raw data;2;;;;;;;;;;;;;;;;;;;;;;;;
1600;;;base;interview;02.09.2019 10:04;276;1;;3;;2;1;1;2;1;1;1;1;2;1;;1;2;1;2;2;1;1;1;1;;2;;1;;1;1;1;1;2;1;1;;1;archive the raw data and analysed data, sorted by publication/project;2;;;;;;;;;;;;;2;;;;;;;;;;2;1;2;2;1;1;1;1;1;;1;1;1;2;1;1;1;1;1;1;;1;2;1;1;2;2;1;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;1;2;1;1;1;1;1;1;1;;1;For my master thesis  I used old data of the project I continued .;1;1;;1;the KIM (Kommunikations- Informations, und Medienzentrum) of my university;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1601;;;base;interview;02.09.2019 10:52;276;1;;3;;1;1;1;2;1;1;1;1;1;1;;9;1;1;1;1;2;1;1;1;;2;;1;;2;2;1;2;1;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;4;2;2;2;2;1;1;1;1;;1;2;1;2;1;2;1;1;1;1;;1;2;1;1;1;2;1;1;2;1;1;;1;1;2;1;1;1;1;;1;2;;1;1;1;2;1;1;1;1;1;;1;For comparison with our data;1;1;;2;;server for making raw data and already publicated data accessible for other scientist;metadata would help a lot to process older data, so far data of former PhD students are not used by later colleagues;2;;;;;;;;;;;;;;;;;;;;;;;;
1602;;;base;interview;02.09.2019 10:52;276;1;;3;;1;2;1;1;1;1;1;1;1;1;;2;4;2;2;2;1;2;1;1;;1;Results of elemental analysis and mass spectrometry are obtained on a sheet.;2;Interpretation of Mass and IR spectra are done by hand on a sheet.;4;2;2;2;2;1;1;;2;;1;3;1;2;2;1;1;2;1;1;1;;1;2;;1;1;1;1;1;2;2;1;2;2;2;1;1;1;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;1;1;1;1;1;1;1;2;1;1;;1;1;1;1;1;2;1;;1;1;Scifinder, Reaxys, CCDC, ;2;2;1;2;1;1;1;1;1;;1;For Research purposes;1;1;;2;;NO;Automatical Backup;2;;;;;;;;;;;;;;;;;;;;;;;;
1603;;;base;interview;02.09.2019 10:54;276;1;;3;;1;1;1;1;1;1;1;1;1;2;Chemistry education;1;1;1;1;1;1;1;1;2;Questionnaires;3;;2;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1604;;;base;interview;02.09.2019 10:56;276;1;;3;;1;1;2;1;1;1;1;1;1;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1606;;;base;interview;02.09.2019 11:02;276;1;;3;;2;2;1;1;2;1;1;1;1;1;;9;5;2;2;2;2;2;1;1;;1;IR/Raman peakdata, MS data;2;Assigning IR/Raman/MS data;1;1;1;1;2;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;3;1;2;2;1;1;2;1;1;;1;3;1;2;2;2;1;1;1;1;;1;3;1;2;2;1;1;1;2;1;1;;1;1;1;1;1;2;1;;1;2;;3;2;1;2;1;2;1;1;1;;1;;1;1;;3;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1608;;;base;interview;02.09.2019 11:05;276;1;;3;;1;2;1;1;1;1;1;1;1;1;;3;4;2;1;2;2;2;1;1;;1;Values of sensitivity measurements and Karl Fischer titrations;1;;2;1;1;2;1;2;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;2;2;2;1;1;1;1;1;1;;1;4;1;2;2;2;2;1;1;1;;1;4;1;1;2;2;2;1;2;1;1;;1;1;2;1;1;1;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1609;;;base;interview;02.09.2019 11:05;276;1;;8;;1;1;1;1;1;1;2;1;1;1;;5;2;2;1;2;1;1;1;1;;1;elemental analysis, IR spectra, UV-Vis, Mass spectra;2;e.g. IR spectra: data is collected manually ;4;2;2;2;2;1;1;;2;;2;;;;;;;;;;;;;1;open enventory;;;;;;;;;3;2;2;2;1;1;1;1;1;;1;4;2;2;1;2;2;1;1;1;;1;2;1;1;1;2;2;1;1;1;1;;1;1;2;1;1;1;1;;1;1;scifinder, Beilstein;2;2;1;2;1;1;1;1;1;;1;"citations; molecules which we chemically modified which were already published";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1610;;;base;interview;02.09.2019 11:15;276;1;;;;1;1;1;1;1;1;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
